id,timestamp,factor,symbol,predicted_side,confidence,entry_price,exit_price,actual_return,resolved,resolve_timestamp
67d88846a1a9,1775062705.7094913,regime_trend,HYPE,SELL,65.0,36.685,,,expired,1776567043.1695824
e193694606de,1775062746.8294263,regime_trend,HYPE,SELL,65.0,36.685,,,expired,1776567043.1695824
fdd187854e17,1775062796.4199972,regime_trend,HYPE,SELL,65.0,36.685,,,expired,1776567043.1695824
5d8d7def506f,1775093200.3979023,multi_tier_quality,SOL,SELL,78.0,79.72,78.8895,0.010418,true,1775100169.9705153
5336e3c69226,1775093200.4093065,bollinger_squeeze,SOL,SELL,72.0,79.72,78.8895,0.010418,true,1775100169.9705153
f623fe823368,1775093231.4979749,multi_tier_quality,SOL,SELL,78.0,79.72,78.8895,0.010418,true,1775100169.9705153
8827bda61104,1775093231.5081165,bollinger_squeeze,SOL,SELL,72.0,79.72,78.8895,0.010418,true,1775100169.9705153
b52e410939c0,1775093262.5050478,multi_tier_quality,SOL,SELL,78.0,79.72,78.8895,0.010418,true,1775100169.9705153
402c99c22e02,1775093262.5303817,bollinger_squeeze,SOL,SELL,72.0,79.72,78.8895,0.010418,true,1775100169.9705153
bd6e975f0a29,1775093316.9982145,multi_tier_quality,SOL,SELL,78.0,79.72,78.8895,0.010418,true,1775100169.9705153
9fbf4e21974e,1775093317.0115173,bollinger_squeeze,SOL,SELL,72.0,79.72,78.8895,0.010418,true,1775100169.9705153
4d79c33594f9,1775093360.981226,multi_tier_quality,SOL,SELL,78.0,79.72,78.8895,0.010418,true,1775100169.9705153
21e79ea5041f,1775093361.0123847,bollinger_squeeze,SOL,SELL,72.0,79.72,78.8895,0.010418,true,1775100169.9705153
94ea350a147d,1775093406.437854,multi_tier_quality,SOL,SELL,78.0,79.756,78.8895,0.010864,true,1775100169.9705153
7406130702b1,1775093406.4565907,bollinger_squeeze,SOL,SELL,72.0,79.756,78.8895,0.010864,true,1775100169.9705153
cffa731aa869,1775093438.7722383,multi_tier_quality,SOL,SELL,78.0,79.756,78.8895,0.010864,true,1775100169.9705153
6b4af401b2f7,1775093438.8082442,bollinger_squeeze,SOL,SELL,72.0,79.756,78.8895,0.010864,true,1775100169.9705153
1ae8c702923c,1775093472.991766,multi_tier_quality,SOL,SELL,78.0,79.756,78.8895,0.010864,true,1775100169.9705153
fab27909efc7,1775093473.0223572,bollinger_squeeze,SOL,SELL,72.0,79.756,78.8895,0.010864,true,1775100169.9705153
b1a4cef9d249,1775093527.0833085,multi_tier_quality,SOL,SELL,78.0,79.756,78.8895,0.010864,true,1775100169.9705153
57e9596c4298,1775093527.0988991,bollinger_squeeze,SOL,SELL,72.0,79.756,78.8895,0.010864,true,1775100169.9705153
fc056b94304e,1775093575.4046252,multi_tier_quality,SOL,SELL,78.0,79.756,78.8895,0.010864,true,1775100169.9705153
6e5aff5a37c8,1775093575.4315977,bollinger_squeeze,SOL,SELL,72.0,79.756,78.8895,0.010864,true,1775100169.9705153
14f60137d6ee,1775093622.5408833,multi_tier_quality,SOL,SELL,78.0,79.447,78.8895,0.007017,true,1775100169.9705153
12ec3d7edc76,1775093622.5685205,bollinger_squeeze,SOL,SELL,72.0,79.447,78.8895,0.007017,true,1775100169.9705153
80762b7c6050,1775093656.8968203,multi_tier_quality,SOL,SELL,78.0,79.447,78.8895,0.007017,true,1775100169.9705153
428716b97600,1775093657.005008,bollinger_squeeze,SOL,SELL,72.0,79.447,78.8895,0.007017,true,1775100169.9705153
05ea278047b5,1775093691.758279,multi_tier_quality,SOL,SELL,78.0,79.447,78.8895,0.007017,true,1775100169.9705153
5cf4040a3485,1775093691.8805022,bollinger_squeeze,SOL,SELL,72.0,79.447,78.8895,0.007017,true,1775100169.9705153
218b3f0db087,1775093762.2969558,multi_tier_quality,SOL,SELL,78.0,79.447,78.8895,0.007017,true,1775100169.9705153
fd8d21ec0763,1775093762.3348773,bollinger_squeeze,SOL,SELL,72.0,79.447,78.8895,0.007017,true,1775100169.9705153
6af28fd0a661,1775093805.711029,multi_tier_quality,SOL,SELL,78.0,79.64,78.8895,0.009424,true,1775100169.9705153
5810b5163aed,1775093805.7660453,bollinger_squeeze,SOL,SELL,72.0,79.64,78.8895,0.009424,true,1775100169.9705153
fd24b7caadd0,1775093851.5887842,multi_tier_quality,SOL,SELL,78.0,79.64,78.8895,0.009424,true,1775100169.9705153
a4b38ee9347f,1775093851.6415699,bollinger_squeeze,SOL,SELL,72.0,79.64,78.8895,0.009424,true,1775100169.9705153
78b2ef9d5e3c,1775093886.1324224,multi_tier_quality,SOL,SELL,78.0,79.64,78.8895,0.009424,true,1775100169.9705153
b1e9e1cb9fb8,1775093886.141911,bollinger_squeeze,SOL,SELL,72.0,79.64,78.8895,0.009424,true,1775100169.9705153
477ec8829167,1775093939.6453178,multi_tier_quality,SOL,SELL,78.0,79.64,78.8895,0.009424,true,1775100169.9705153
0925f917010a,1775093939.6644902,bollinger_squeeze,SOL,SELL,72.0,79.64,78.8895,0.009424,true,1775100169.9705153
94bd53622200,1775093982.4968169,multi_tier_quality,SOL,SELL,78.0,79.64,78.8895,0.009424,true,1775100169.9705153
753ba8e481b2,1775093982.5226696,bollinger_squeeze,SOL,SELL,72.0,79.64,78.8895,0.009424,true,1775100169.9705153
c232d74fb61e,1775094017.305188,multi_tier_quality,SOL,SELL,78.0,79.286,78.8895,0.005001,true,1775100169.9705153
e9590d661d6e,1775094017.3291376,bollinger_squeeze,SOL,SELL,72.0,79.286,78.8895,0.005001,true,1775100169.9705153
20ddf5fb1303,1775094060.4107816,multi_tier_quality,SOL,SELL,78.0,79.286,78.8895,0.005001,true,1775100169.9705153
5f145287895b,1775094060.4348695,bollinger_squeeze,SOL,SELL,72.0,79.286,78.8895,0.005001,true,1775100169.9705153
260ee695ea8a,1775094092.7570481,multi_tier_quality,SOL,SELL,78.0,79.286,78.8895,0.005001,true,1775100169.9705153
39cc2ea9d874,1775094092.7905793,bollinger_squeeze,SOL,SELL,72.0,79.286,78.8895,0.005001,true,1775100169.9705153
ee31a16eb26b,1775094146.5317137,multi_tier_quality,SOL,SELL,78.0,79.286,78.8895,0.005001,true,1775100169.9705153
f6171283d642,1775094146.5523167,bollinger_squeeze,SOL,SELL,72.0,79.286,78.8895,0.005001,true,1775100169.9705153
85de363f2ecd,1775094190.448919,multi_tier_quality,SOL,SELL,78.0,79.286,78.8895,0.005001,true,1775100169.9705153
e20700ebf3d0,1775094190.4656122,bollinger_squeeze,SOL,SELL,72.0,79.286,78.8895,0.005001,true,1775100169.9705153
1e3d55583915,1775094224.1802847,multi_tier_quality,SOL,SELL,78.0,79.288,78.8895,0.005026,true,1775100169.9705153
030523687e4d,1775094224.2079074,bollinger_squeeze,SOL,SELL,72.0,79.288,78.8895,0.005026,true,1775100169.9705153
049f9752032c,1775094266.7697263,multi_tier_quality,SOL,SELL,78.0,79.288,78.8895,0.005026,true,1775100169.9705153
b061aa68c9f9,1775094266.7961106,bollinger_squeeze,SOL,SELL,72.0,79.288,78.8895,0.005026,true,1775100169.9705153
8259e0958573,1775094299.0183141,multi_tier_quality,SOL,SELL,78.0,79.288,78.8895,0.005026,true,1775100169.9705153
3f45e60ccc9f,1775094299.042848,bollinger_squeeze,SOL,SELL,72.0,79.288,78.8895,0.005026,true,1775100169.9705153
b1c29d6e6456,1775094353.5058873,multi_tier_quality,SOL,SELL,78.0,79.288,78.8895,0.005026,true,1775100169.9705153
cdd1f731e0a1,1775094353.54115,bollinger_squeeze,SOL,SELL,72.0,79.288,78.8895,0.005026,true,1775100169.9705153
b1d90628e8ae,1775094396.8991985,multi_tier_quality,SOL,SELL,78.0,79.288,78.8895,0.005026,true,1775100169.9705153
4bd1e880b041,1775094396.9134703,bollinger_squeeze,SOL,SELL,72.0,79.288,78.8895,0.005026,true,1775100169.9705153
82a5c1cf7518,1775094434.9748902,multi_tier_quality,SOL,SELL,78.0,79.161,78.8895,0.00343,true,1775100169.9705153
27a690549d6a,1775094434.987928,bollinger_squeeze,SOL,SELL,72.0,79.161,78.8895,0.00343,true,1775100169.9705153
f4d7a85afaef,1775094477.5399818,multi_tier_quality,SOL,SELL,78.0,79.161,78.8895,0.00343,true,1775100169.9705153
f4fafab9ee83,1775094477.559813,bollinger_squeeze,SOL,SELL,72.0,79.161,78.8895,0.00343,true,1775100169.9705153
dd5d15d3f0da,1775094509.9265788,multi_tier_quality,SOL,SELL,78.0,79.161,78.8895,0.00343,true,1775100169.9705153
d764e174cf52,1775094509.9446726,bollinger_squeeze,SOL,SELL,72.0,79.161,78.8895,0.00343,true,1775100169.9705153
61f4015a981f,1775094563.7038164,multi_tier_quality,SOL,SELL,78.0,79.161,78.8895,0.00343,true,1775100169.9705153
e96bb905eaf4,1775094563.7334588,bollinger_squeeze,SOL,SELL,72.0,79.161,78.8895,0.00343,true,1775100169.9705153
f10360468b8b,1775094607.134675,multi_tier_quality,SOL,SELL,78.0,79.161,78.8895,0.00343,true,1775100169.9705153
5d41d19d5a62,1775094607.1542656,bollinger_squeeze,SOL,SELL,72.0,79.161,78.8895,0.00343,true,1775100169.9705153
c552fcbd5844,1775094640.65459,multi_tier_quality,SOL,SELL,78.0,79.119,78.8895,0.002901,true,1775100169.9705153
9ba30137e51b,1775094640.667723,bollinger_squeeze,SOL,SELL,72.0,79.119,78.8895,0.002901,true,1775100169.9705153
fab2bb869942,1775094683.0229743,multi_tier_quality,SOL,SELL,78.0,79.119,78.8895,0.002901,true,1775100169.9705153
9415d1f09107,1775094683.0466213,bollinger_squeeze,SOL,SELL,72.0,79.119,78.8895,0.002901,true,1775100169.9705153
1386c2a81e3e,1775094715.3624942,multi_tier_quality,SOL,SELL,78.0,79.119,78.8895,0.002901,true,1775100169.9705153
be9c28c8ca65,1775094715.378997,bollinger_squeeze,SOL,SELL,72.0,79.119,78.8895,0.002901,true,1775100169.9705153
3c9023a3da23,1775094769.346528,multi_tier_quality,SOL,SELL,78.0,79.119,78.8895,0.002901,true,1775100169.9705153
ee7de587f8af,1775094769.3715215,bollinger_squeeze,SOL,SELL,72.0,79.119,78.8895,0.002901,true,1775100169.9705153
847c3743b324,1775094813.0341702,multi_tier_quality,SOL,SELL,78.0,79.119,78.8895,0.002901,true,1775100169.9705153
44f6eaf7792a,1775094813.058591,bollinger_squeeze,SOL,SELL,72.0,79.119,78.8895,0.002901,true,1775100169.9705153
b69aa339762f,1775094847.2408266,multi_tier_quality,SOL,SELL,78.0,79.221,78.8895,0.004184,true,1775100169.9705153
ba4f4ab3279e,1775094847.2473354,bollinger_squeeze,SOL,SELL,72.0,79.221,78.8895,0.004184,true,1775100169.9705153
989e7358f5bf,1775094888.1547112,multi_tier_quality,SOL,SELL,78.0,79.221,78.8895,0.004184,true,1775100169.9705153
61dc823e913a,1775094888.1598504,bollinger_squeeze,SOL,SELL,72.0,79.221,78.8895,0.004184,true,1775100169.9705153
f6100c4c8f30,1775094918.6326983,multi_tier_quality,SOL,SELL,78.0,79.221,78.8895,0.004184,true,1775100169.9705153
32a068a33f89,1775094918.6418936,bollinger_squeeze,SOL,SELL,72.0,79.221,78.8895,0.004184,true,1775100169.9705153
fcf04f791f07,1775094971.5285938,multi_tier_quality,SOL,SELL,78.0,79.221,78.8895,0.004184,true,1775100169.9705153
bae4ef68ab9d,1775094971.5318933,bollinger_squeeze,SOL,SELL,72.0,79.221,78.8895,0.004184,true,1775100169.9705153
336f1fcfcce9,1775095013.2554667,multi_tier_quality,SOL,SELL,78.0,79.221,78.8895,0.004184,true,1775100169.9705153
6cddc03da5d5,1775095013.266269,bollinger_squeeze,SOL,SELL,72.0,79.221,78.8895,0.004184,true,1775100169.9705153
a74439dddcde,1775095047.1415038,multi_tier_quality,SOL,SELL,78.0,79.408,78.8895,0.00653,true,1775100169.9705153
